id,郡,市区町村,面積
1,国頭郡,国頭村,194.8
2,国頭郡,大宜味村,63.55
3,国頭郡,東村,81.88
4,国頭郡,今帰仁村,39.93
5,国頭郡,本部町,54.35
6,国頭郡,恩納村,50.83
7,国頭郡,宜野座村,31.3
8,国頭郡,金武町,37.84
9,国頭郡,伊江村,22.78
10,中頭郡,読谷村,35.28
11,中頭郡,嘉手納町,15.12
12,中頭郡,北谷町,13.93
13,中頭郡,北中城村,11.54
14,中頭郡,中城村,15.53
15,中頭郡,西原町,15.9
16,島尻郡,与那原町,5.18
17,島尻郡,南風原町,10.76
18,島尻郡,渡嘉敷村,19.23
19,島尻郡,座間味村,16.74
20,島尻郡,粟国村,7.65
21,島尻郡,渡名喜村,3.87
22,島尻郡,南大東村,30.52
23,島尻郡,北大東村,13.07
24,島尻郡,伊平屋村,21.82
25,島尻郡,伊是名村,15.43
26,島尻郡,久米島町,63.65
27,島尻郡,八重瀬町,26.96
28,宮古郡,多良間村,22
29,八重山郡,竹富町,334.4
30,八重山郡,与那国町,28.9